epoch,train loss,reg loss,train acc,test loss,test acc
0,1.7433241312228256,0.0,38.96813201904297,1.382347043114479,50.540000915527344
1,1.2921252388450968,0.0,58.23160934448242,1.0936684120785107,62.470001220703125
2,1.0858709723805662,0.0,66.11096954345703,0.9501048356595666,67.54000091552734
3,1.0306453866575231,0.0,69.3350830078125,0.9701870842413469,67.55999755859375
4,0.9232017381406908,0.0,72.86002349853516,0.6875073130082603,78.38999938964844
5,0.8240830995629181,0.0,76.24897766113281,0.6944441524418917,77.27999877929688
6,0.7866218629943665,0.0,77.64842987060547,1.2742802362249355,52.02000045776367
7,0.7761863975518912,0.0,77.84020233154297,0.617255915294994,81.12999725341797
8,0.6999409861450818,0.0,79.62256622314453,0.606227581850206,81.41999816894531
9,0.7010591109493869,0.0,80.28019714355469,0.544614190706099,82.44999694824219
10,0.7006766635868418,0.0,79.81416320800781,0.515954771427193,83.98999786376953
11,0.6230033960698838,0.0,82.31755828857422,0.8348797029919095,71.4000015258789
12,0.6103267638602449,0.0,82.57987213134766,0.47692074257918077,84.62999725341797
13,0.6504590145532211,0.0,81.61554718017578,0.5612280967861715,83.45999908447266
14,0.5881673093492062,0.0,83.4729995727539,0.5272697785285988,84.23999786376953
15,0.5572590626514138,0.0,84.38123321533203,0.5129510399067041,83.66999816894531
16,0.61684094923525,0.0,82.41325378417969,0.5551595344687953,82.55000305175781
17,0.6163505983337685,0.0,83.22261047363281,0.5215323552338764,85.79000091552734
18,0.6207338133873652,0.0,82.51554107666016,0.43960855570104385,86.69999694824219
19,0.5733674506296464,0.0,84.22010803222656,0.4214864413846623,87.05999755859375
20,0.49797582712455013,0.0,86.54740905761719,0.4367676621133631,88.0
21,0.5019952540271845,0.0,86.6541976928711,0.38804750550876965,88.55000305175781
22,0.5406090981472078,0.0,85.14817810058594,0.4608370643673521,86.95999908447266
23,0.5793616230501302,0.0,84.33091735839844,0.465947061024531,86.80999755859375
24,0.5103377988327987,0.0,86.06736755371094,0.40267969923790053,87.77999877929688
25,0.5368046069227571,0.0,85.8376693725586,0.4209754491093183,88.31999969482422
26,0.5270035184882395,0.0,85.6810302734375,0.3857910092731919,88.12999725341797
27,0.5305274362727326,0.0,85.53955078125,0.3937087751398183,88.37999725341797
28,0.5647050107094511,0.0,84.25505065917969,0.4326059523254934,87.45999908447266
29,0.4864148476615024,0.0,86.66091918945312,0.4043315045460306,89.69000244140625
30,0.49719195255083054,0.0,86.16409301757812,0.35606353737489144,89.48999786376953
31,0.4983976629829437,0.0,86.4382095336914,0.34446283015939927,90.08999633789062
32,0.4706164757772606,0.0,87.1258316040039,0.5032062277649388,86.1500015258789
33,0.4555776189525972,0.0,88.07901000976562,0.41500336127449766,88.77999877929688
34,0.4840352093641782,0.0,87.4287109375,0.36494518259559017,89.55999755859375
35,0.5118461913480681,0.0,86.06907653808594,0.38172043242839854,89.11000061035156
36,0.45225344945550267,0.0,87.93730926513672,0.4514831235312452,87.54000091552734
37,0.478485729601515,0.0,87.18168640136719,0.8932594091001184,73.68000030517578
38,0.4705809460737597,0.0,87.88996124267578,0.420768091172883,89.33999633789062
39,0.48840521422013566,0.0,86.88581848144531,0.3756809957099683,89.19000244140625
40,0.47582365942173566,0.0,87.01077270507812,0.3683565856531413,89.08999633789062
41,0.4600124043885188,0.0,88.41493225097656,0.4398466171038271,89.41999816894531
42,0.4749868495913981,0.0,87.31532287597656,0.3787103724299055,89.66999816894531
43,0.46827968567534906,0.0,87.37499237060547,0.43811733945451603,87.80000305175781
44,0.4586419704646321,0.0,87.8076171875,0.40691607407849245,89.1500015258789
45,0.530418201120355,0.0,85.4638671875,0.5962991603095122,84.2699966430664
46,0.49434785173279255,0.0,86.54432678222656,0.38899965614381465,90.6500015258789
47,0.45573329160822995,0.0,88.53910064697266,0.35521094937517184,90.98999786376953
